State,Age,Gender,Plan,Price
IL,62,M,SA4,788.92
IL,63,M,SA4,814.69
IL,64,M,SA4,840.46
IL,18,F,SA1,192.43
IL,19,F,SA1,195.72
IL,20,F,SA1,199.02
IL,21,F,SA1,202.31
IL,22,F,SA1,205.6
IL,23,F,SA1,208.89
IL,24,F,SA1,212.19
IL,25,F,SA1,215.48
IL,26,F,SA1,222.83
IL,27,F,SA1,230.18
IL,28,F,SA1,237.53
IL,29,F,SA1,244.88
IL,30,F,SA1,252.23
IL,31,F,SA1,259.57
IL,32,F,SA1,266.92
IL,33,F,SA1,274.27
IL,34,F,SA1,281.62
IL,35,F,SA1,288.97
IL,36,F,SA1,296.39
IL,37,F,SA1,303.8
IL,38,F,SA1,311.22
IL,39,F,SA1,318.63
IL,40,F,SA1,326.05
IL,41,F,SA1,333.47
IL,42,F,SA1,340.88
IL,43,F,SA1,348.3
IL,44,F,SA1,355.71
IL,45,F,SA1,363.13
IL,46,F,SA1,374.3
IL,47,F,SA1,385.47
IL,48,F,SA1,396.64
IL,49,F,SA1,407.81
IL,50,F,SA1,418.98
IL,51,F,SA1,430.14
IL,52,F,SA1,441.31
IL,53,F,SA1,452.48
IL,54,F,SA1,463.65
IL,55,F,SA1,474.82
IL,56,F,SA1,489.55
IL,57,F,SA1,504.29
IL,58,F,SA1,519.02
IL,59,F,SA1,533.75
IL,60,F,SA1,548.49
IL,61,F,SA1,563.22
IL,62,F,SA1,577.95
IL,63,F,SA1,592.69
IL,64,F,SA1,607.42
IL,18,F,SA2,218.79
IL,19,F,SA2,222.73
IL,20,F,SA2,226.66
IL,21,F,SA2,230.6
IL,22,F,SA2,234.53
IL,23,F,SA2,238.47
IL,24,F,SA2,242.4
IL,25,F,SA2,246.34
IL,26,F,SA2,252.92
IL,27,F,SA2,259.5
IL,28,F,SA2,266.08
IL,29,F,SA2,272.66
IL,30,F,SA2,279.24
IL,31,F,SA2,285.81
IL,32,F,SA2,292.39
IL,33,F,SA2,298.97
IL,34,F,SA2,305.55
IL,35,F,SA2,312.13
IL,36,F,SA2,324.18
IL,37,F,SA2,336.24
IL,38,F,SA2,348.3
IL,39,F,SA2,360.35
IL,40,F,SA2,372.4
IL,41,F,SA2,384.46
IL,42,F,SA2,396.52
IL,43,F,SA2,408.57
IL,44,F,SA2,420.62
IL,45,F,SA2,432.68
IL,46,F,SA2,447.41
IL,47,F,SA2,462.14
IL,48,F,SA2,476.88
IL,49,F,SA2,491.61
IL,50,F,SA2,506.34
IL,51,F,SA2,521.07
IL,52,F,SA2,535.8
IL,53,F,SA2,550.54
IL,54,F,SA2,565.27
IL,55,F,SA2,580
IL,56,F,SA2,598.89
IL,57,F,SA2,617.78
IL,58,F,SA2,636.68
IL,59,F,SA2,655.57
IL,60,F,SA2,674.46
IL,61,F,SA2,693.35
IL,62,F,SA2,712.25
IL,63,F,SA2,731.14
IL,64,F,SA2,750.03
IL,18,F,SA3,207.61
IL,19,F,SA3,211.41
IL,20,F,SA3,215.21
IL,21,F,SA3,219.01
IL,22,F,SA3,222.82
IL,23,F,SA3,226.62
IL,24,F,SA3,230.42
IL,25,F,SA3,234.22
IL,26,F,SA3,240.43
IL,27,F,SA3,246.65
IL,28,F,SA3,252.86
IL,29,F,SA3,259.08
IL,30,F,SA3,265.29
IL,31,F,SA3,271.5
IL,32,F,SA3,277.72
IL,33,F,SA3,283.93
IL,34,F,SA3,290.15
IL,35,F,SA3,296.36
IL,36,F,SA3,307.35
IL,37,F,SA3,318.34
IL,38,F,SA3,329.33
IL,39,F,SA3,340.32
IL,40,F,SA3,351.3
IL,41,F,SA3,362.29
IL,42,F,SA3,373.28
IL,43,F,SA3,384.27
IL,44,F,SA3,395.26
IL,45,F,SA3,406.25
IL,46,F,SA3,419.04
IL,47,F,SA3,431.83
IL,48,F,SA3,444.62
IL,49,F,SA3,457.41
IL,50,F,SA3,470.2
IL,51,F,SA3,482.99
IL,52,F,SA3,495.78
IL,53,F,SA3,508.57
IL,54,F,SA3,521.36
IL,55,F,SA3,534.15
IL,56,F,SA3,551.1
IL,57,F,SA3,568.06
IL,58,F,SA3,585.01
IL,59,F,SA3,601.96
IL,60,F,SA3,618.92
IL,61,F,SA3,635.87
IL,62,F,SA3,652.82
IL,63,F,SA3,669.78
IL,64,F,SA3,686.73
IL,18,F,SA4,240.85
IL,19,F,SA4,245.49
IL,20,F,SA4,250.14
IL,21,F,SA4,254.78
IL,22,F,SA4,259.42
IL,23,F,SA4,264.06
IL,24,F,SA4,268.71
IL,25,F,SA4,273.35
IL,26,F,SA4,281.19
IL,27,F,SA4,289.03
IL,28,F,SA4,296.87
IL,29,F,SA4,304.71
IL,30,F,SA4,312.55
IL,31,F,SA4,320.39
IL,32,F,SA4,328.23
IL,33,F,SA4,336.07
IL,34,F,SA4,343.91
IL,35,F,SA4,351.75
IL,36,F,SA4,366.09
IL,37,F,SA4,380.43
IL,38,F,SA4,394.77
IL,39,F,SA4,409.11
IL,40,F,SA4,423.44
IL,41,F,SA4,437.78
IL,42,F,SA4,452.12
IL,43,F,SA4,466.46
IL,44,F,SA4,480.8
IL,45,F,SA4,495.14
IL,46,F,SA4,512.43
IL,47,F,SA4,529.72
IL,48,F,SA4,547.01
IL,49,F,SA4,564.3
IL,50,F,SA4,581.6
IL,51,F,SA4,598.89
IL,52,F,SA4,616.18
IL,53,F,SA4,633.47
IL,54,F,SA4,650.76
IL,55,F,SA4,668.05
IL,56,F,SA4,690.31
IL,57,F,SA4,712.57
IL,58,F,SA4,734.83
IL,59,F,SA4,757.09
IL,60,F,SA4,779.34
IL,61,F,SA4,801.6
IL,62,F,SA4,823.86
IL,63,F,SA4,846.12
IL,64,F,SA4,868.38
CO,18,M,SA1,168.96
CO,19,M,SA1,171.18
CO,20,M,SA1,173.39
CO,21,M,SA1,175.61
CO,22,M,SA1,177.82
CO,23,M,SA1,180.04
CO,24,M,SA1,182.25
CO,25,M,SA1,184.47
CO,26,M,SA1,188.27
CO,27,M,SA1,192.07
CO,28,M,SA1,195.88
CO,29,M,SA1,199.68
CO,30,M,SA1,203.48
CO,31,M,SA1,207.28
CO,32,M,SA1,211.08
CO,33,M,SA1,214.89
CO,34,M,SA1,218.69
CO,35,M,SA1,222.49
CO,36,M,SA1,231.21
CO,37,M,SA1,239.94
CO,38,M,SA1,248.66
CO,39,M,SA1,257.38
CO,40,M,SA1,266.1
CO,41,M,SA1,274.83
CO,42,M,SA1,283.55
CO,43,M,SA1,292.27
CO,44,M,SA1,301
CO,45,M,SA1,309.72
CO,46,M,SA1,321.88
CO,47,M,SA1,334.05
CO,48,M,SA1,346.21
CO,49,M,SA1,358.38
CO,50,M,SA1,370.54
CO,51,M,SA1,382.7
CO,52,M,SA1,394.87
